ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	110.01027822647356	110.01027822647356	110.01027822647356	110.01027822647356
1	104.42216166264792	104.40368563158908	107.26247357377635	110.12126151596328
2	104.38884336399708	100.19993703101191	105.14513371650153	110.16156624762151
3	104.64343501600315	97.44785805003028	103.6728492199004	110.17327577403903
4	104.65586096910893	95.41015904062729	102.5418050231187	110.1826690054722
5	104.75870209961792	94.01855363598652	101.68858099030197	110.18555297459123
6	104.78517703925812	93.0620900144673	101.04445758274316	110.19310725353215
7	104.87471482893598	92.40591770467825	100.5458308620479	110.19550412261778
8	104.9226886361509	91.99685388897537	100.16903305199632	110.19972227596409
9	104.88132198433402	91.6296482903556	99.84064409389127	110.2026598971605
10	104.92046679223839	91.46135700533004	99.58950802108909	110.20585664453671
