ITERATION	avg. Average Leg distance	avg. Average Trip distance
0	4506.483303546538	4506.483303546538	
1	2731.0743434167935	4988.572562095082	
2	2742.51485978793	4970.787867236818	
3	2778.4279756064443	4963.430893485875	
4	2765.6645797783044	4964.231882916041	
5	2804.215708769587	4951.001208703539	
6	2805.2418475553172	4958.4652924727325	
7	2807.760064868491	4950.9359351722815	
8	2826.5156850563803	4947.826259641778	
9	2819.3477174067457	4948.979458906471	
10	2826.3669212302184	4932.490997770978	
