Iteration	bus	car	subway
0	0.0	1.0	0.0
1	0.15384615384615385	0.7010785824345146	0.14507526371933152
2	0.15147564300106672	0.7025008889415669	0.14602346805736635
3	0.14021571648690292	0.7177906838923788	0.14199359962071825
4	0.14187507407846392	0.7129311366599502	0.14519378926158588
5	0.1392675121488681	0.72217612895579	0.13855635889534196
6	0.14116392082493778	0.7209908735332464	0.13784520564181582
7	0.14306032950100747	0.7231243332938249	0.13381533720516772
8	0.13215597961360673	0.7298802892023231	0.13796373118407015
9	0.1446011615503141	0.7213464501600095	0.13405238828967642
10	0.13831930781083324	0.7253763185966576	0.1363043735925092
